"Index","Consumer Discretionary","Consumer Staples","Energy","Financials","Health Care","Industrials","Information Technology","Materials","Real Estate","Telecommunications Services","Utilities"
2009-01-02,0.0448561714432244,0.0602747760738652,0.0967761883362195,0.12073886758449,0.138506907078401,0.174351613006932,0.212602243455276,0.232570845913157,0.216557194380612,0.237870532479911,0.256300158135926
2009-01-05,-0.000189575694313357,-0.00174721649735494,0.0119729023885427,-0.010334504036375,-0.0194156940766295,-0.0218980356048171,-0.010601957613211,-0.00782209216532302,-0.0250914775062029,-0.0622426911364748,-0.0576719437337727
2009-01-06,0.0237827836803223,0.0150253159222024,0.021388254071934,0.0423784112229502,0.0288468138794736,0.0471998113606616,0.0662326433226741,0.0766270890479069,0.128347396634293,0.123894181091048,0.114924811135668
2009-01-07,-0.0309778494007106,-0.0415740437534974,-0.0748445530008752,-0.125360264161684,-0.135768980579646,-0.172350293066263,-0.2025629531201,-0.211447261372668,-0.240592879139283,-0.246433118687473,-0.258248030654647
2009-01-08,0.00344072893987108,-0.00664086013290871,0.00347710657694651,0.00176337479992615,0.00551445533956006,0.0121860411969814,0.0209676385221246,0.029310177604294,0.022695567976018,0.0445053545448274,0.0509502623311661
2009-01-09,-0.0270658499331765,-0.03820435586934,-0.0673884160518358,-0.0986877191508121,-0.108974601756744,-0.126706780401737,-0.148981237064609,-0.164732931171319,-0.208905992592072,-0.217118757326712,-0.225859089343695
2009-01-12,-0.0295243247009488,-0.0333578213403862,-0.0622564344216947,-0.12187201029976,-0.130322727524325,-0.153157735245959,-0.167163058629299,-0.191800148117252,-0.251053852089214,-0.278899241896194,-0.277372408610086
2009-01-13,-0.0105576094828159,-0.00163653734361792,0.0194068853939012,0.0342669165313576,0.0424325870679148,0.0226416370256934,0.0233408227596987,0.0265534061087228,0.0520676353171732,0.0502889090380396,0.0301799895480051
2009-01-14,-0.0366784851240357,-0.0545257574040394,-0.0942572084150936,-0.153719919449393,-0.173235822277138,-0.20989745138742,-0.244210921686616,-0.2702292084486,-0.321113459970257,-0.350556091343629,-0.362731541688147
2009-01-15,0.0197056549105216,0.0247008334212333,0.033555951529541,-0.0304708130663251,-0.0200146940566823,-0.0116699092270757,-0.0117928358107123,0.00856857315774777,0.026470598251016,0.0139202485519749,0.0196597942035594
2009-01-16,0.0104247112852594,0.0214966058395921,0.029587506378402,-0.00679013182388124,0.00315623826426375,0.0168975780327422,0.0227004341260713,0.034443221748449,0.0715754304921054,0.0767165815497056,0.0962132246496484
